"";"year";"count";"month";"areacell";"species";"sampling_type";"vessel"
"Col1";1998;24763000;11;"IXa";"ANE";"pelago_bio";"1.RSH"
"Col3";2000;24913000;11;"IXa";"ANE";"pelago_bio";"1.RSH"
"Col4";2001;21335000;11;"IXa";"ANE";"pelago_bio";"1.RSH"
"Col5";2002;24565000;11;"IXa";"ANE";"pelago_bio";"1.RSH"
"Col7";2005;14041000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"Col8";2006;24082000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"Col9";2007;38020000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"Col10";2008;34162000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"Col11";2009;24745000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"271";2015;33100000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"291";2016;65345000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"311";2017;13797000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"331";2018;23473000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"351";2019;29876000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"371";2020;49787000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"391";2021;14065000;1;"IXa";"ANE";"pelago_bio";"1.RSH"
"411";2022;8972473,13165407;1;"IXa";"ANE";"pelago_bio";"1.RSH"
